produit,date,marge,rendement
Buzzard,2010-08-21,395951.84,0.03
Buzzard,2010-08-20,1258994.10,0.10
Buzzard,2010-08-14,344899.78,0.03
Buzzard,2010-08-22,357448.85,0.03
Republic Fleet Fusion M,2010-09-18,127.58,0.19
Chromium,2010-09-03,-242.36,-0.12
Chromium,2010-08-25,332.81,0.18
Chromium,2010-09-01,-78.38,-0.04
Republic Fleet Fusion L,2010-09-12,309.98,0.26
Republic Fleet Fusion L,2010-09-01,674.09,0.82
Republic Fleet Fusion L,2010-09-15,-60.81,-0.05
Republic Fleet Fusion L,2010-09-10,789.91,0.66
Republic Fleet Fusion L,2010-09-20,336.66,0.29
Republic Fleet Fusion L,2010-09-19,384.93,0.33
Republic Fleet Fusion L,2010-09-22,336.39,0.29
Republic Fleet Fusion L,2010-09-07,476.58,0.47
Small Armor Repairer II,2010-09-11,43706.94,0.20
Small Armor Repairer II,2010-09-04,69956.95,0.34
Small Armor Repairer II,2010-09-10,43711.80,0.20
Small Armor Repairer II,2010-09-02,63933.94,0.31
Small Armor Repairer II,2010-09-08,59987.87,0.28
Small Armor Repairer II,2010-09-09,59766.04,0.28
Small Armor Repairer II,2010-09-06,64998.38,0.31
Small Armor Repairer II,2010-09-07,61911.78,0.29
Ocular Filter - Improved,2010-09-12,4418882.70,0.04
Ocular Filter - Improved,2010-09-06,1842486.95,0.02
Ocular Filter - Improved,2010-09-17,5986720.58,0.05
Ocular Filter - Improved,2010-09-07,4807824.57,0.04
1400mm Howitzer Artillery II,2010-08-03,407771.81,0.17
1400mm Howitzer Artillery II,2010-08-30,300885.51,0.12
1400mm Howitzer Artillery II,2010-08-25,348394.23,0.14
1400mm Howitzer Artillery II,2010-09-01,199107.80,0.08
1400mm Howitzer Artillery II,2010-08-31,276884.78,0.11
1400mm Howitzer Artillery II,2010-08-26,348392.10,0.14
1400mm Howitzer Artillery II,2010-09-11,318209.98,0.13
1400mm Howitzer Artillery II,2010-09-08,329102.64,0.13
1400mm Howitzer Artillery II,2010-08-29,310885.47,0.12
1400mm Howitzer Artillery II,2010-08-22,360603.88,0.15
Heavy Armor Maintenance Bot II,2010-08-31,292998.29,0.29
Heavy Armor Maintenance Bot II,2010-08-30,295998.36,0.30
Heavy Armor Maintenance Bot II,2010-08-25,539988.15,0.54
Heavy Armor Maintenance Bot II,2010-09-09,146999.65,0.17
Heavy Armor Maintenance Bot II,2010-09-03,335994.87,0.39
Heavy Armor Maintenance Bot II,2010-09-05,312989.37,0.36
Republic Fleet EMP S,2010-09-21,67.84,0.12
Republic Fleet EMP S,2010-09-19,73.32,0.13
Republic Fleet EMP S,2010-09-20,68.81,0.13
Republic Fleet EMP S,2010-09-10,93.26,0.18
Republic Fleet EMP S,2010-09-05,108.04,0.21
Republic Fleet EMP S,2010-09-04,108.50,0.21
Republic Fleet EMP S,2010-09-03,108.85,0.21
Republic Fleet EMP S,2010-09-09,93.35,0.18
Republic Fleet EMP S,2010-09-22,66.85,0.12
Republic Fleet EMP S,2010-09-24,63.20,0.11
